id,title,content_id,organisation_id,user_id,creator_id,system_score,created,opened,deleted,saved,clicked_out
1,AFC Gamma is looking to finance unburdened cannabis borrowers,95,1,98,143,0.31,1715376481,1715383681.0,1715390881.0,,1715387281.0
2,Massachusetts cannabis regulator expanding secret shopper program,71,1,98,98,0.3,1715376481,1715383681.0,,1715387281.0,
3,Institutional investor puts $50 million into cannabis operator Canopy Growth,14,1,98,99,0.29,1715376481,1715380081.0,1715383681.0,,
4,AFC Gamma provides $34 million to Sunburn Cannabis in debt capital,69,1,98,144,0.28,1715376481,1715383681.0,1715387281.0,,
5,Cannabis operator Canopy raising $35 million in upsized private placement,2,1,98,98,0.27,1715376481,1715383681.0,1715387281.0,1715380381.0,1715383981.0
16,AFC Gamma is looking to finance unburdened cannabis borrowers,95,1,99,98,0.31,1715376481,1715380081.0,1715383681.0,1715380381.0,1715383981.0
17,Massachusetts cannabis regulator expanding secret shopper program,71,1,99,143,0.3,1715376481,1715383681.0,1715380141.0,,1715387281.0
18,Institutional investor puts $50 million into cannabis operator Canopy Growth,14,1,99,143,0.29,1715376481,1715380081.0,,1715380261.0,1715380141.0
19,AFC Gamma provides $34 million to Sunburn Cannabis in debt capital,69,1,99,98,0.28,1715376481,1715383681.0,1715387281.0,,
20,Cannabis operator Canopy raising $35 million in upsized private placement,2,1,99,98,0.27,1715376481,1715383681.0,1715390881.0,1715387281.0,1715380141.0
31,AFC Gamma is looking to finance unburdened cannabis borrowers,95,1,143,144,0.31,1715376481,1715383681.0,1715380261.0,,1715380141.0
32,Massachusetts cannabis regulator expanding secret shopper program,71,1,143,98,0.3,1715376481,1715383681.0,1715390881.0,,1715387281.0
33,Institutional investor puts $50 million into cannabis operator Canopy Growth,14,1,143,98,0.29,1715376481,,1715383681.0,,
34,AFC Gamma provides $34 million to Sunburn Cannabis in debt capital,69,1,143,143,0.28,1715376481,1715383681.0,,1715380381.0,
35,Cannabis operator Canopy raising $35 million in upsized private placement,2,1,143,143,0.27,1715376481,1715383681.0,1715394481.0,1715387281.0,1715390881.0
46,AFC Gamma is looking to finance unburdened cannabis borrowers,95,1,144,144,0.31,1715376481,1715383681.0,,1715387281.0,1715383981.0
47,Massachusetts cannabis regulator expanding secret shopper program,71,1,144,143,0.3,1715376481,1715383681.0,1715387281.0,,
