id,title,event_id,organisation_id,user_id,creator_id,system_score,created,opened,deleted,saved,clicked_out
11,Supply Chain Challenges and Cannabis: A Global Outlook for 2022,1208,1,98,99,0.46,1715376481,1715380081.0,1715383681.0,1715380261.0,1715380141.0
12,Fund Your Business: Options for Raising Capital and Navigating M&A,1246,1,98,98,0.46,1715376481,1715380081.0,1715380261.0,,1715380141.0
13,Upwise Capital: Cannabis Business Financing on the Front Lines: Unsecured and Secured Debt Lending Options,1203,1,98,143,0.41,1715376481,1715380081.0,1715383681.0,1715380381.0,
14,Medicinal Applications of Cannabis for Cancer *In-Person Blue Ash*,436,1,98,143,0.34,1715376481,1715380081.0,1715383681.0,1715380261.0,1715380141.0
15,Essential Cannabis Businesses and COVID-19: Addressing Your Top Supply Chain and Retail Challenges,1241,1,98,98,0.33,1715376481,1715383681.0,,1715387281.0,
26,Supply Chain Challenges and Cannabis: A Global Outlook for 2022,1208,1,99,99,0.46,1715376481,1715383681.0,1715390881.0,,1715387281.0
27,Fund Your Business: Options for Raising Capital and Navigating M&A,1246,1,99,144,0.46,1715376481,1715383681.0,1715380141.0,,
28,Upwise Capital: Cannabis Business Financing on the Front Lines: Unsecured and Secured Debt Lending Options,1203,1,99,98,0.41,1715376481,1715383681.0,1715387281.0,,
29,Medicinal Applications of Cannabis for Cancer *In-Person Blue Ash*,436,1,99,143,0.34,1715376481,1715383681.0,,1715387281.0,1715390881.0
30,Essential Cannabis Businesses and COVID-19: Addressing Your Top Supply Chain and Retail Challenges,1241,1,99,144,0.33,1715376481,1715383681.0,,1715380261.0,1715387281.0
41,Supply Chain Challenges and Cannabis: A Global Outlook for 2022,1208,1,143,144,0.46,1715376481,1715383681.0,,,
42,Fund Your Business: Options for Raising Capital and Navigating M&A,1246,1,143,98,0.46,1715376481,1715380081.0,1715383681.0,1715380381.0,1715383981.0
43,Upwise Capital: Cannabis Business Financing on the Front Lines: Unsecured and Secured Debt Lending Options,1203,1,143,144,0.41,1715376481,1715383681.0,,1715380261.0,1715380141.0
44,Medicinal Applications of Cannabis for Cancer *In-Person Blue Ash*,436,1,143,144,0.34,1715376481,1715383681.0,1715390881.0,1715387281.0,1715380141.0
45,Essential Cannabis Businesses and COVID-19: Addressing Your Top Supply Chain and Retail Challenges,1241,1,143,99,0.33,1715376481,1715383681.0,,1715387281.0,
56,Supply Chain Challenges and Cannabis: A Global Outlook for 2022,1208,1,144,143,0.46,1715376481,,1715380081.0,,
57,Fund Your Business: Options for Raising Capital and Navigating M&A,1246,1,144,144,0.46,1715376481,1715380081.0,1715380261.0,,1715380141.0
58,Upwise Capital: Cannabis Business Financing on the Front Lines: Unsecured and Secured Debt Lending Options,1203,1,144,99,0.41,1715376481,1715383681.0,,1715387281.0,1715380141.0
